local_site,DateTime,mmt_num,SM
MRS1,5/11/2018 20:00,1,0.0969
MRS1,5/11/2018 20:00,2,0.1615
MRS1,5/11/2018 20:00,3,0.0577
MRS1,5/11/2018 20:00,4,0.1521
MRS1,5/11/2018 20:00,5,0.2407
MRS1,5/11/2018 21:00,1,0.0954
MRS1,5/11/2018 21:00,2,0.1608
MRS1,5/11/2018 21:00,3,0.0562
MRS1,5/11/2018 21:00,4,0.1514
MRS1,5/11/2018 21:00,5,0.2407
MRS1,5/11/2018 22:00,1,0.0954
MRS1,5/11/2018 22:00,2,0.1608
MRS1,5/11/2018 22:00,3,0.0569
MRS1,5/11/2018 22:00,4,0.1506
MRS1,5/11/2018 22:00,5,0.24
MRS1,5/11/2018 23:00,1,0.0954
MRS1,5/11/2018 23:00,2,0.1601
MRS1,5/11/2018 23:00,3,0.0569
MRS1,5/11/2018 23:00,4,0.1506
MRS1,5/11/2018 23:00,5,0.2392
MRS1,5/12/2018 0:00,1,0.0962
MRS1,5/12/2018 0:00,2,0.1601
MRS1,5/12/2018 0:00,3,0.0569
MRS1,5/12/2018 0:00,4,0.1499
MRS1,5/12/2018 0:00,5,0.24
MRS1,5/12/2018 1:00,1,0.0962
MRS1,5/12/2018 1:00,2,0.1594
MRS1,5/12/2018 1:00,3,0.0577
MRS1,5/12/2018 1:00,4,0.1499
MRS1,5/12/2018 1:00,5,0.24
MRS1,5/12/2018 2:00,1,0.0969
MRS1,5/12/2018 2:00,2,0.1594
MRS1,5/12/2018 2:00,3,0.0569
MRS1,5/12/2018 2:00,4,0.1499
MRS1,5/12/2018 2:00,5,0.24
MRS1,5/12/2018 3:00,1,0.0976
MRS1,5/12/2018 3:00,2,0.1586
MRS1,5/12/2018 3:00,3,0.0584
MRS1,5/12/2018 3:00,4,0.1492
MRS1,5/12/2018 3:00,5,0.24
MRS1,5/12/2018 4:00,1,0.0969
MRS1,5/12/2018 4:00,2,0.1586
MRS1,5/12/2018 4:00,3,0.0577
MRS1,5/12/2018 4:00,4,0.1485
MRS1,5/12/2018 4:00,5,0.2385
MRS1,5/12/2018 5:00,1,0.0976
MRS1,5/12/2018 5:00,2,0.1594
MRS1,5/12/2018 5:00,3,0.0577
MRS1,5/12/2018 5:00,4,0.1477
MRS1,5/12/2018 5:00,5,0.2392
MRS1,5/12/2018 6:00,1,0.0983
MRS1,5/12/2018 6:00,2,0.1623
MRS1,5/12/2018 6:00,3,0.0584
MRS1,5/12/2018 6:00,4,0.147
MRS1,5/12/2018 6:00,5,0.2392
MRS1,5/12/2018 7:00,1,0.0983
MRS1,5/12/2018 7:00,2,0.1637
MRS1,5/12/2018 7:00,3,0.0584
MRS1,5/12/2018 7:00,4,0.1477
MRS1,5/12/2018 7:00,5,0.2392
MRS1,5/12/2018 8:00,1,0.0983
MRS1,5/12/2018 8:00,2,0.1644
MRS1,5/12/2018 8:00,3,0.0598
MRS1,5/12/2018 8:00,4,0.1477
MRS1,5/12/2018 8:00,5,0.24
MRS1,5/12/2018 9:00,1,0.0991
MRS1,5/12/2018 9:00,2,0.1659
MRS1,5/12/2018 9:00,3,0.0598
MRS1,5/12/2018 9:00,4,0.1485
MRS1,5/12/2018 9:00,5,0.2407
MRS1,5/12/2018 10:00,1,0.0983
MRS1,5/12/2018 10:00,2,0.1659
MRS1,5/12/2018 10:00,3,0.0598
MRS1,5/12/2018 10:00,4,0.1485
MRS1,5/12/2018 10:00,5,0.2407
MRS1,5/12/2018 11:00,1,0.0983
MRS1,5/12/2018 11:00,2,0.1659
MRS1,5/12/2018 11:00,3,0.0598
MRS1,5/12/2018 11:00,4,0.1492
MRS1,5/12/2018 11:00,5,0.2407
MRS1,5/12/2018 12:00,1,0.0991
MRS1,5/12/2018 12:00,2,0.1666
MRS1,5/12/2018 12:00,3,0.0606
MRS1,5/12/2018 12:00,4,0.1499
MRS1,5/12/2018 12:00,5,0.2414
MRS1,5/12/2018 13:00,1,0.0976
MRS1,5/12/2018 13:00,2,0.1702
MRS1,5/12/2018 13:00,3,0.0606
MRS1,5/12/2018 13:00,4,0.1499
MRS1,5/12/2018 13:00,5,0.2407
MRS1,5/12/2018 14:00,1,0.0969
MRS1,5/12/2018 14:00,2,0.1688
MRS1,5/12/2018 14:00,3,0.0591
MRS1,5/12/2018 14:00,4,0.1506
MRS1,5/12/2018 14:00,5,0.24
MRS1,5/12/2018 15:00,1,0.0969
MRS1,5/12/2018 15:00,2,0.1673
MRS1,5/12/2018 15:00,3,0.0591
MRS1,5/12/2018 15:00,4,0.1499
MRS1,5/12/2018 15:00,5,0.2392
MRS1,5/12/2018 16:00,1,0.0976
MRS1,5/12/2018 16:00,2,0.1659
MRS1,5/12/2018 16:00,3,0.0598
MRS1,5/12/2018 16:00,4,0.1499
MRS1,5/12/2018 16:00,5,0.2378
MRS1,5/12/2018 17:00,1,0.0969
MRS1,5/12/2018 17:00,2,0.1666
